congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
117,President,99912,99,0,USA,200,0,0,"TRUMP, Donald John",,1946,,0.403,0.162,,,,,,,
117,President,99913,99,0,USA,100,0,0,"BIDEN, Joseph Robinette, Jr.",B000444,1942,,-0.32,0.283,,,,,,,
117,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.363,0.455,-87.10936,0.89792,809,30,,0.419,0.537
117,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.396,0.398,-22.43869,0.9732,826,9,,-0.492,0.475
117,House,21193,41,5,AL,200,,,"BROOKS, Mo",B001274,1954,,0.652,-0.417,-168.03035,0.8141,817,80,,0.697,-0.288
117,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954,,0.678,0.096,-113.20381,0.87265,831,52,,0.648,0.245
117,House,22108,41,1,AL,200,,,"CARL, Jerry L.",C001054,1958,,0.52,0.394,-70.51703,0.91902,835,27,,0.51,0.568
117,House,22140,41,2,AL,200,,,"MOORE, Barry",M001212,1966,,0.642,-0.136,-146.70511,0.83709,825,83,,0.633,-0.132
117,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.386,0.561,-138.55987,0.84591,828,56,,0.541,0.365
117,House,14066,81,1,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933,2022.0,0.283,0.022,-83.13235,0.81484,406,33,,0.255,0.047
117,House,22168,81,1,AK,100,,,"PELTOLA, Mary Sattler",P000619,1973,,-0.156,0.381,-4.9016,0.95791,114,1,,-0.627,-0.363
117,House,21995,93,0,AS,200,,,"RADEWAGEN, Aumua Amata Coleman",R000600,1947,,0.336,0.267,,,,,,,
117,House,20305,61,3,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.598,-0.256,-11.34083,0.98633,824,4,,-0.527,-0.305
117,House,20902,61,2,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950,,-0.169,-0.01,-30.95096,0.96374,838,14,,-0.423,0.144
117,House,21103,61,4,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.699,-0.486,-154.69204,0.82865,823,73,,0.733,-0.53
